,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M4 133 34S,7.132276069063824e-08,0.00021835332893816633,0.00021835332893816633
M4 133 34S-D-D,3.479100947399779e-08,0.00010651203994637073,0.00010651203994637073
M4 133 36S,9.372657178216173e-05,0.28694218732454785,0.28694218732454785
M4 133 17O-D,1.6979106693397577e-12,5.198122496941286e-09,5.198122496941286e-09
M4 133 17O,1.835441776231946e-13,5.619171468288827e-10,5.619171468288827e-10
M4 133 17O-D-D,2.447933175377035e-12,7.494302697847079e-09,7.494302697847079e-09
M4 133 17O-D-D-D,2.1472766341136234e-13,6.573848189129244e-10,6.573848189129244e-10
M4 133 17O-33S-D,3.102180092071987e-11,9.497267681599104e-08,9.497267681599104e-08
M4 133 17O-33S,9.563123571661223e-12,2.9277328116568016e-08,2.9277328116568016e-08
M4 133 17O-33S-D-D,4.664860411472384e-12,1.428138493257396e-08,1.428138493257396e-08
M4 133 17O-34S,1.2539962136721202e-07,0.0003839086500294487,0.0003839086500294487
M4 133 17O-34S-D,4.24277879403305e-08,0.00012989189771323264,0.00012989189771323264
M4 133 18O-D,2.073824642065316e-08,6.348976257286134e-05,6.348976257286134e-05
M4 133 18O,6.393001286002229e-09,1.957205665046269e-05,1.957205665046269e-05
M4 133 18O-D-D,3.1184851252929424e-09,9.547185242946535e-06,9.547185242946535e-06
M4 133 18O-33S,1.1680379702036153e-07,0.00035759269081912456,0.00035759269081912456
M4 133 18O-33S-D,3.951947124380289e-08,0.00012098813927561779,0.00012098813927561779
M4 133 18O-34S,0.00015974980766817154,0.4890711178844712,0.4890711178844712
M4 133 17O-17O-D,7.463162985729131e-13,2.2848337144582248e-09,2.2848337144582248e-09
M4 133 17O-17O,2.3006771931253703e-13,7.043481198239437e-10,7.043481198239437e-10
M4 133 17O-17O-D-D,1.122262812706039e-13,3.4357870997278783e-10,3.4357870997278783e-10
M4 133 17O-17O-33S,4.203469072712104e-12,1.2868843777604784e-08,1.2868843777604784e-08
M4 133 17O-17O-33S-D,1.4222044092821962e-12,4.3540528183462124e-09,4.3540528183462124e-09
M4 133 17O-17O-34S,5.748985846648532e-09,1.760041514768343e-05,1.760041514768343e-05
M4 133 17O-18O,2.810042449639807e-09,8.602893626030795e-06,8.602893626030795e-06
M4 133 17O-18O-D,9.50751556159146e-10,2.9107085209580353e-06,2.9107085209580353e-06
M4 133 17O-18O-33S,5.3549075235122095e-09,1.639395156038035e-05,1.639395156038035e-05
M4 133 18O-17O,2.810042449639807e-09,8.602893626030795e-06,8.602893626030795e-06
M4 133 18O-17O-D,9.50751556159146e-10,2.9107085209580353e-06,2.9107085209580353e-06
M4 133 18O-17O-33S,5.3549075235122095e-09,1.639395156038035e-05,1.639395156038035e-05
M4 133 18O-18O,3.579785456886002e-06,0.010959447781135776,0.010959447781135776
M4 133 13C-D,1.2241884528275272e-10,3.7478305849936097e-07,3.7478305849936097e-07
M4 133 13C,1.323347964574676e-11,4.051405618772625e-08,4.051405618772625e-08
M4 133 13C-D-D,1.764952409277978e-10,5.403369559051134e-07,5.403369559051134e-07
M4 133 13C-D-D-D,1.5481799531482022e-11,4.7397246445848315e-08,4.7397246445848315e-08
M4 133 13C-33S-D,2.2366624557360847e-09,6.847501249136208e-06,6.847501249136208e-06
M4 133 13C-33S,6.894983146517814e-10,2.1108864946282616e-06,2.1108864946282616e-06
M4 133 13C-33S-D-D,3.363350235614803e-10,1.0296835305028437e-06,1.0296835305028437e-06
M4 133 13C-34S,9.041274740701132e-06,0.027679697453659828,0.027679697453659828
M4 133 13C-34S-D,3.059030667129538e-06,0.009365166505386671,0.009365166505386671
M4 133 13C-17O-D,2.1523671683509995e-10,6.58943276670366e-07,6.58943276670366e-07
M4 133 13C-17O,6.635125167339748e-11,2.0313314490085492e-07,2.0313314490085492e-07
M4 133 13C-17O-D-D,3.23659236298152e-11,9.908768393560296e-08,9.908768393560296e-08
M4 133 13C-17O-33S,1.2122753908208328e-09,3.7113589632866004e-06,3.7113589632866004e-06
M4 133 13C-17O-33S-D,4.1016202956794537e-10,1.2557035607281403e-06,1.2557035607281403e-06
M4 133 13C-17O-34S,1.6580005570429023e-06,0.005075938417217935,0.005075938417217935
M4 133 13C-18O,8.104128399503848e-07,0.002481064104976899,0.002481064104976899
M4 133 13C-18O-D,2.741955975835685e-07,0.0008394448130275571,0.0008394448130275571
M4 133 13C-18O-33S,1.544348845818139e-06,0.004727995779480083,0.004727995779480083
M4 133 13C-17O-17O,2.9164679537484474e-11,8.92871336269018e-08,8.92871336269018e-08
M4 133 13C-17O-17O-D,9.867596291543712e-12,3.020946578641463e-08,3.020946578641463e-08
M4 133 13C-17O-17O-33S,5.5577153966523434e-11,1.7014844159127305e-07,1.7014844159127305e-07
M4 133 13C-17O-18O,3.715363647848458e-08,0.00011374517936040091,0.00011374517936040091
M4 133 13C-18O-17O,3.715363647848458e-08,0.00011374517936040091,0.00011374517936040091
M4 133 13C-13C-D,6.207400851694917e-09,1.900384431135885e-05,1.900384431135885e-05
M4 133 13C-13C,1.9135620641529196e-09,5.858335302666198e-06,5.858335302666198e-06
M4 133 13C-13C-D-D,9.334293184723215e-10,2.8576768067205245e-06,2.8576768067205245e-06
M4 133 13C-13C-33S,3.4961875483518205e-08,0.00010703514311315632,0.00010703514311315632
M4 133 13C-13C-33S-D,1.1829023268476948e-08,3.621433864516689e-05,3.621433864516689e-05
M4 133 13C-13C-34S,4.781653530695562e-05,0.14638944933512069,0.14638944933512069
M4 133 13C-13C-17O,3.3644233058821265e-09,1.030012049004912e-05,1.030012049004912e-05
M4 133 13C-13C-17O-D,1.138321128940791e-09,3.484949341529045e-06,3.484949341529045e-06
M4 133 13C-13C-17O-33S,6.411353563451451e-09,1.962824181261613e-05,1.962824181261613e-05
M4 133 13C-13C-18O,4.286025509240602e-06,0.013121588799905022,0.013121588799905022
M4 133 13C-13C-17O-17O,1.5424306514459798e-10,4.7221232624510787e-07,4.7221232624510787e-07
M4 133 13C-13C-13C,4.8514780381070214e-08,0.00014852711387405954,0.00014852711387405954
M4 133 13C-13C-13C-D,1.6414521762806156e-08,5.0252758518181655e-05,5.0252758518181655e-05
M4 133 13C-13C-13C-33S,9.24513302272127e-08,0.00028303805860004164,0.00028303805860004164
M4 133 13C-13C-13C-17O,8.896702644652822e-09,2.7237092622634826e-05,2.7237092622634826e-05
M4 133 13C-13C-13C-13C,6.414495675475806e-08,0.00019637861331178938,0.00019637861331178938
M4 104 D-D,3.909909346050055e-09,1.1970116037145206e-05,1.1970116037145206e-05
M4 104 D-D-D,4.8558949670399516e-12,1.4866233734646155e-08,1.4866233734646155e-08
M4 104 D-D-D-D,1.1004863402524946e-13,3.3691188271215176e-10,3.3691188271215176e-10
M4 104 15N-D,2.0505659356388754e-08,6.277770152449037e-05,6.277770152449037e-05
M4 104 15N-D-D,4.297541867016288e-11,1.315684591885575e-07,1.315684591885575e-07
M4 104 15N-D-D-D,1.4841102746966652e-12,4.543576494423178e-09,4.543576494423178e-09
M4 104 33S-D,4.4043478735909576e-08,0.00013483830556863905,0.00013483830556863905
M4 104 33S-D-D,9.23055877145649e-11,2.8259187055997835e-07,2.8259187055997835e-07
