,Abs. Abundance,Rel. Abundance,Adj. Rel. Abundance
M3 102 13C-13C-17O,4.761323348963092e-07,0.00017682651544426715,0.00017682651544426715
M3 102 13C-13C-13C,4.613664112088192e-06,0.0017134273154300482,0.0017134273154300482
M3 61 ,0.0001355616992186846,0.05034504305565417,0.05034504305565417
M3 61 D,2.5061874186204242e-06,0.0009307504569741578,0.0009307504569741578
M3 61 D-D,5.429868137711029e-09,2.0165500045746553e-06,2.0165500045746553e-06
M3 61 D-D-D,1.7776986887201892e-11,6.60203564424355e-09,6.60203564424355e-09
M3 61 33S,3.14463571962931e-05,0.01167858042585414,0.01167858042585414
M3 61 33S-D,1.7067920847740233e-07,6.33870197041277e-05,6.33870197041277e-05
M3 61 33S-D-D,1.1198435711307136e-09,4.158886553437549e-07,4.158886553437549e-07
M3 61 34S,0.0015367954600756437,0.5707366760019053,0.5707366760019053
M3 61 34S-D,2.5259651194621335e-05,0.009380955198212342,0.009380955198212342
M3 61 13C,8.571600528226573e-05,0.031833298058125514,0.031833298058125514
M3 61 13C-D,4.652348074563794e-07,0.0001727793805136376,0.0001727793805136376
M3 61 13C-D-D,3.052452685033633e-09,1.1336230125402864e-06,1.1336230125402864e-06
M3 61 13C-33S,5.837528281693818e-06,0.0021679472474476547,0.0021679472474476547
M3 61 13C-33S-D,9.59489613712583e-08,3.563362379803732e-05,3.563362379803732e-05
M3 61 13C-34S,0.0008639243733887234,0.32084512089893796,0.32084512089893796
M3 61 13C-13C,3.97785368676814e-06,0.001477299386800781,0.001477299386800781
M3 61 13C-13C-D,6.5382283616361e-08,2.4281739626416482e-05,2.4281739626416482e-05
M3 61 13C-13C-33S,8.203834356654825e-07,0.00030467484273781866,0.00030467484273781866
M3 56 D,4.129869158069376e-05,0.015337550486278002,0.015337550486278002
M3 56 ,0.0010410689919313116,0.3866332712319989,0.3866332712319989
M3 56 D-D,1.0254738568317332e-08,3.8084153394504992e-06,3.8084153394504992e-06
M3 56 D-D-D,6.846590571584984e-11,2.5426938368103052e-08,2.5426938368103052e-08
M3 56 15N-D,9.722807596566257e-08,3.6108662689549835e-05,3.6108662689549835e-05
M3 56 15N,0.0001627128514658455,0.06042846585702259,0.06042846585702259
M3 56 15N-D-D,1.2202257487060326e-09,4.531686915278482e-07,4.531686915278482e-07
